2016-12-28 09:25:05,751 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:25:23,751 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:25:41,750 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:25:59,754 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:26:17,752 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:26:35,752 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:26:53,756 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:27:11,752 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:27:29,755 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:27:47,754 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:28:05,752 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:28:23,753 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:28:41,754 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:28:59,752 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:29:17,752 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:29:46,462 [INFO] astrategy.py 136: 集思录数据 page:1, rows:140
2016-12-28 09:29:46,473 [INFO] astrategy.py 504: Now macket status: -0.005405405405405406
2016-12-28 14:02:11,174 [DEBUG] autotrader.py 37: Starting loginning
2016-12-28 14:02:27,464 [DEBUG] autotrader.py 87: Running started
2016-12-28 14:03:00,488 [INFO] astrategy.py 136: 集思录数据 page:1, rows:140
2016-12-28 14:03:00,496 [INFO] astrategy.py 504: Now macket status: 0.05054054054054052
2016-12-28 14:03:00,496 [INFO] astrategy.py 416: TOP3:  ['150255', '502004', '150177', '150203', '502049']
2016-12-28 14:03:00,496 [INFO] astrategy.py 417: NowPosition:  ['150255', '502011', '502049', '150186', '150217']
2016-12-28 14:03:00,496 [INFO] astrategy.py 442: sell: id: 150217 amount: 87300.0 price: 1.028 nowprice: 1.028
2016-12-28 14:03:00,497 [INFO] astrategy.py 442: sell: id: 150186 amount: 73200.0 price: 0.991 nowprice: 0.991
2016-12-28 14:03:00,778 [DEBUG] gftrader.py 108: raw response: {"total":1,"data":[{"error_no":"0","entrust_bs":"2","seat_no":"234800","entrust_type":"0","stock_code":"150217","order_id":"43135","orig_order_id":"43135","entrust_status":"1","entrust_amount":"87300.00","entrust_price":"1.028","entrust_no":"43135","init_date":"20161228","fund_account":"9237965","report_no":"43135","error_info":"","batch_no":"43135","entrust_time":"140300"}],"success":true}
2016-12-28 14:03:01,060 [DEBUG] gftrader.py 108: raw response: {"total":1,"data":[{"error_no":"0","entrust_bs":"2","seat_no":"234800","entrust_type":"0","stock_code":"150186","order_id":"43138","orig_order_id":"43138","entrust_status":"1","entrust_amount":"73200.00","entrust_price":"0.991","entrust_no":"43138","init_date":"20161228","fund_account":"9237965","report_no":"43138","error_info":"","batch_no":"43138","entrust_time":"140300"}],"success":true}
2016-12-28 14:03:11,022 [INFO] astrategy.py 136: 集思录数据 page:1, rows:140
2016-12-28 14:03:11,029 [INFO] astrategy.py 504: Now macket status: 0.05054054054054052
2016-12-28 14:03:11,030 [INFO] astrategy.py 416: TOP3:  ['150255', '502004', '150177', '150203', '502049']
2016-12-28 14:03:11,030 [INFO] astrategy.py 417: NowPosition:  ['150255', '502011', '502049', '150186', '150217']
2016-12-28 14:03:30,906 [INFO] astrategy.py 136: 集思录数据 page:1, rows:140
2016-12-28 14:03:30,914 [INFO] astrategy.py 504: Now macket status: 0.05054054054054052
2016-12-28 14:03:30,915 [INFO] astrategy.py 416: TOP3:  ['150255', '502004', '150177', '150203', '502049']
2016-12-28 14:03:30,915 [INFO] astrategy.py 417: NowPosition:  ['150255', '502011', '502049', '150186', '150217']
2016-12-28 14:03:43,529 [INFO] astrategy.py 136: 集思录数据 page:1, rows:140
2016-12-28 14:03:43,537 [INFO] astrategy.py 504: Now macket status: 0.047837837837837814
2016-12-28 14:03:43,537 [INFO] astrategy.py 416: TOP3:  ['150255', '502004', '150177', '150203', '502049']
2016-12-28 14:03:43,537 [INFO] astrategy.py 417: NowPosition:  ['502011', '150255', '502049', '150186', '150217']
2016-12-28 14:04:07,188 [INFO] astrategy.py 136: 集思录数据 page:1, rows:140
